asin,title,description,imUrl
0895640163,Essene Teachings of Zarathustra,This is an example product description.,http://ecx.images-amazon.com/images/I/214TOKc-jWL.jpg
0898004640,White Peacock Gift Wrapping Paper,"White peacock gift wrapping paper, twelve (12) sheets 10 1/2 x 16 1/2"" unfolded, special size for small gifts (cds, books etc)",http://ecx.images-amazon.com/images/I/61Qs5VsNWJL._SX300_.jpg
0898004659,Iris &amp; Wisteria Gift Wrapping Paper,"Peacock gift wrapping paper, twelve (12) sheets 10 1/2 x 16 1/2"" unfolded, special size for small gifts (cds, books etc)",http://ecx.images-amazon.com/images/I/61c5ICDyJ4L._SX300_.jpg
0898004667,Peacock Gift wrapping paper,"Peacock gift wrapping paper, twelve (12) sheets 10 1/2 x 16 1/2"" unfolded, special size for small gifts (cds, books etc). If you enjoyed the peacock wrapping paper, please have a look at the white peacock wrapping paper at http://www.amazon.com/gp/product/0898004640",http://ecx.images-amazon.com/images/I/61vD1Qda3wL._SX300_.jpg
0929619730,New Generation B-Flax-D,"Contains Organic Cold-Milled Flaxseed
Valuable source of soluble and insoluble fiber
Provides Omega-3 essential fats, and many other nutrients to help achieve and maintain optimal bowel function.

Contains Vitamin B12
B12 helps prevent nerve damage
B12 aids in healthy cell formation.
B12 helps prevent anemia

Contains Vitamin D
Vitamin D assists the body in the absorption of important minerals like calcium.

Contains Seleno-yeast
A source of selenium, a mineral with powerful anti-viral and disease-fighting properties.

Contains Vitamin K2
MenaQ7TM provides vitamin K2 (menaquinone), extracted and concentrated from natto without solvents. Vitamin K2 prevents arterial calcification and promotes strong bones by improving cross-linking of osteocalcin, a protein found in bones. The amount here has been clinically shown not to interfere with blood anti-coagulant medication. 

Serving Size:
1/4 Cup (30 Grams)

Servings Per Container:
30 Servings per container

Net Wt. 32 oz / 2 lb (908 g)

B-Flax-D is a 100% vegetarian product.

Does Not Contain:
Contains no artificial colors or preservatives.",http://ecx.images-amazon.com/images/I/41YpSZ%2B9qdL._SX300_.jpg
093926322X,Kama Sutra of Sexual Positions DVD: A Tantric Vision of Love,"A New film of THE ANCIENT LOVER. Karma Sutra of Sexual positions from the ancient texts of: Karma Sutra 4th century India, Ishimpo- 10th century Japan and China, Ananga-Ranga-13th century India, The Performed Garden- 16th century North. Through a unique blend of erotic temple sculptures, ancient passionate dances, and mystical poetry from lovers around the world, this film brings together The Karma Sutra of Sexual Positions, East indian Dance for the Belove, and African Full Moon Dance to capture the magic of passionate love.",http://ecx.images-amazon.com/images/I/512VVF4EFYL._SY300_.jpg
0945523181,Relationship Enrichment Systems Canoodling Game,"Canoodling is an intimate and hot card game for lovers. By definition Canoodle is to converse, kiss, cuddle and touch somebody in a romantic or sexual way. This game begins there but it's so much more than that. Playing the 54 Canoodling cards, you'll share intimate, pleasurable, fun experiences.like you've never experienced before. There are opportunities to be creative, playful, passionate and very naughty.sometimes all at once. The exciting intimate activities are a catalyst for you to love and be loved, pleasure and be pleasured, grow closer and enjoy each other as lovers do.",http://ecx.images-amazon.com/images/I/51CUc8L37-L._SY300_.jpg
0972433503,Ionic Yoga: Healing Relaxation for Ionic Footbath,"Ionic Yoga is a guided relaxation CD designed for use with ionic foot baths. Ionic Yoga is unique in that it guides the listener in the foot bath setting, enhancing the release of tension and toxins during a session. Ionic Yoga employs the yogic principles of body and breath awareness along with healing affirmations and visualizations that increase the beneficial results of any foot bath.  This CD has four tracks: an introduction, a short 12- minute relaxation and two 26-minute relaxation sequences that are ideal for the typical 30-minute foot bath session. For use with all ionic foot baths.",http://ecx.images-amazon.com/images/I/51PF4FXRXuL._SX300_.jpg
0974959200,EAS Sports Nutrition Review - The Latest Research on Performance Nutrition,"Nutrition Basics, Weight LOss, Lean Mass & Strength, Goal-Specific Training!",http://ecx.images-amazon.com/images/I/51gHyuoLXEL._SY300_.jpg
0976202107,"Methods of Theoretical Physics, Parts 1 and 2",This is an example product description.,http://ecx.images-amazon.com/images/I/41Z2D4M77HL._SY300_.jpg
0978559088,Nutrihill Resveratrol Lozenges,"Everyone knows that resveratrol is an amazing ingredient and may have many beneficial effects. However, what is less known is that a conventional oral resveratrol pill delivers little resveratrol into the bloodstream. While working through the gut and liver, resveratrol is substantially (>98%) damaged in the process. A resveratrol lozenge solves the problem effectively. Studies show intraoral absorption delivers over a hundred times more resveratrol into the bloodstream than simply swallowing it. It's the most effective way to take resveratrol supplement. Each lozenge contains 20 mg of resveratrol extract of the highest purity available (>99%). Ingredients: Trans-Resveratrol (as Japanese knotweed (Polygonum cuspidatum) root extract, 99%), Isomalt, Vegetable Magnesium Stearate. Contains no sugar, no artificial flavoring & coloring, no silica, no preservatives. 60 Lozenges per bottle.",http://ecx.images-amazon.com/images/I/31znLKmNNuL._SY300_.jpg
0979047714,Healing Touch Technique Review Cards Level 2,,http://ecx.images-amazon.com/images/I/51qTNPFDq8L._SX300_.jpg
0979679737,Personal Empowerment: Accessing the 12 Divine Powers Within,"Based on the teachings of Charles Filmore, Betsy Brown leads you on a guided meditation to help you connect with the 12 Powers of Man. This meditation can be adapted to any situation where you want to increase your personal power, manifest your desires and achieve your goals. This is a deep meditation lasting about 30 minutes, and should not be experienced while driving a motor vehicle or operating machinery.",http://ecx.images-amazon.com/images/I/51ZIHEq8FvL._SY300_.jpg
097968191X,White Coat Clipboard 2.0,"A full-size, folding medical reference clipboard that's light, thin and slips right in the pocket of your white coat.",http://ecx.images-amazon.com/images/I/41QR2SuLK9L._SX300_.jpg
0982614926,Celebrate Life,A step by step guide in creating a joyful life and discovering joy in your life.,http://ecx.images-amazon.com/images/I/113WBIjnQ%2BL.jpg
0982828004,Anabolics 10th Edition Softcover (William Llewellyn's ANABOLICS),"&#x2022;Nearly 200 Pharmaceutical Compounds reviewed. If a drug is in use by athletes or bodybuilders, ANABOLICS probably examines it in great detail. 


&#x2022;Numerous Graphs and Diagrams help visually explain the different properties of the performance drugs. Bring your anabolic understanding to a whole new level. 


&#x2022;The most extensive Side Effects discussion anywhere, with detailed explanations of the real risks of anabolics, as well as effective prevention and harm reduction strategies. 


&#x2022;Informative Steroid Cycling and Stacking sections help take the guesswork out of cycle construction. Maximize your benefits; minimize your costs and side effects.


&#x2022;More Counterfeits exposed than ever before! The 10th Edition includes a new chapter on Advanced Detection Techniques! 


&#x2022;Dig into the science behind anabolics, with Steroid and Muscle Biochemistry sections that are the envy of University textbooks everywhere.


&#x2022;Comprehensive Global Drug Availability Tables allow you to reference what anabolic steroids are sold around the world.


&#x2022;Approximately 3,000 Color Photographs of legitimate, counterfeit, and underground drug products are at your fingertips. This library makes product identification a snap! 


&#x2022;Over 900 Medical Citations. This book is not full of random theories and guesswork. ANABOLICS is a serious reference any academic could love.


ANABOLICS is trusted by more bodybuilding and medical professionals because it is the most accurate and relevant guide. Whether you are interested in using these substances, or simply want to research them, this up-to-date monster encyclopedia is a ""must have"" if you want to save yourself time, error, and money",http://ecx.images-amazon.com/images/I/41rd0N5jhGL._SY300_.jpg
0982884451,Runes Quick Reference Sheet - Living Magick,"This handy Runes Quick Reference Sheet is 8.5 x 5.5 inches, double sided, printed on sturdy card stock and laminated for durability.

  ~    The Norse ""Furthark"" Rune themes, meanings and keywords (including the reversed meanings where applicable). Runic glyph and names, as well as the alphabetical associations, are featured on the back for quick reference.  This goes well with the Living Magick Runes Learning Cards for gaining expertise in this system.This product is part of the Living Magick series of flash cards and laminated reference sheets.Please search ""Living Magick Learning Cards""to find other products in the line including:""Learning Cards"" for: Astrology, Crystals & Stones, Runes, Tarot and Kabbalah's Tree of Life ~and~""Quick Reference Sheets"" for: Astrology, Crystals & Stones, Numerology, Oghams, Runes, Tarot, Tarot Reversals and 
the Tree of Life.Product Summary:Title: Numerology Quick Reference SheetAuthors: Jadzia DeForest & Jay DeForestFormat: Double Sided Laminated SheetISBN: 978-0-9828844-5-4Publication Date: September 2010Language: EnglishDimensions: 8.5"" x 5.5""",http://ecx.images-amazon.com/images/I/61bGlb87GZL._SY300_.jpg
0985013346,Emotions &amp; Essential Oils: A Modern Resource for Healing,"Essential oils are widely used for their physical health benefits, but few have understood the scope of their healing capabilities. In this, the first installment in the series, Daniel Macdonald introduces essential oils as powerful emotional healers. This groundbreaking manual bridges the gap between the physical and emotional aspects of essential oils and creates a user-friendly guide for taking charge of emotional health.

Each of the listed essential oils and blends is analyzed for its effect on feelings and emotions. This easy to follow reference will help you come to know the oils in a new way and more fully appreciate their distinct healing qualities. For long-time oil enthusiasts and beginners alike, Emotions & Essential Oils will inspire you with the genius and beauty of Mother Nature's finest of gifts.",http://ecx.images-amazon.com/images/I/51YuBO%2B3UYL._SY300_.jpg
1093486147,PU-70 PU70 Universal Quick Release Plate for Benro B1 B2 B3 J1 J2 Ballhead,"New Generic PU70 Universal Quick Release Plate For Arca Swiss Benro B1 B2 B3 J1 J2 Ballhead
The PU-70 quick release plate for Benro New generation B-series Ballhead.
Safe Screw installed in both side to prevent drop of camera by accident.
You can change the location of the screw to fit different cameras.
The PU-70 Universal Quick Release System has been designed to be compatible with other brand quick release systems.
Suitable for most ball heads.
Built with excellent materials, offering outstanding quality.",http://ecx.images-amazon.com/images/I/51UkpNyZF0L._SY300_.jpg
1133442021,Tennessee State of the Nation,This is an example product description.,http://ecx.images-amazon.com/images/I/51fCb-4XhzL._SY300_.jpg
1285114752,General Chemistry 121 -- WWU Edition,This is an example product description.,http://ecx.images-amazon.com/images/I/41NYZwp6R1L._SY300_.jpg
1300451459,Liver Support Chicken Flavor Herbal Supplement for Dogs From Vetvittles.com,"VetVittles tm

 ""Liver Support"" 
Supports liver function, stimulates des-intoxication and restores liver functions, eliminates harmful metabolites.

Chicken Flavor 

Manufacturer's name and address:
		Made in USA, source of US certified herbal remedies: San Francisco Herb & Natural Food Co.; 
		Vet Vittles, 223 W 38th Street, New York, NY 10018; tel. (888) 807 4588;  www.vetvittles.com 

Net quantity statement:  	2 Oz of highly palatable gel per bottle.

Ingredients: 		Honey, agar-agar and herbal remedies: alfalfa herb, anise seed, blackberry leaf, cat's claw bark, dandelion root, fennel seed, fenugreek seed, milk thistle seed, white willow bark. 

Instructions:  		For dogs and cats only. Keep out of reach of children.

Precaution:		Not recommended during pregnancy.  

Dosage: 		Give 0.03 oz of gel (1 pump) 2-3 times a day per 3 lb of body weight into mouth. 

Best before December 2015.",http://ecx.images-amazon.com/images/I/31m4U9yEIGL._SY300_.jpg
1300451076,Allergy X Plus Dog and Cat Herbal Supplement,"VetVittles tm

 ""Allergy X Plus"". (improved formula of the previous ""AlergyX"") 
Reduces allergy reactions, lessens inflammation and irritation, supports the healing of skin wounds soothes aches and pains.

Chicken Flavor 

Manufacturer's name and address:
		Made in USA, source of US certified herbal remedies: San Francisco Herb & Natural Food Co.; 
		Vet Vittles, 223 W 38th Street, New York, NY 10018; tel. (888) 807 4588;  www.vetvittles.com 

Net quantity statement:	2 Oz of highly palatable gel per bottle.

Ingredients: 		Honey, agar-agar + taurin and herbal remedies: catnip herb, chaparral herb, eleuthro root, fennel seed, fenugreek seed, gotu kola herb, hibiscus flower, hops flower, hyssop herb, licorice root, milk thistle seed, pau d'arco bark, shavegrass, valerian root, white oak bark. 

Instructions:  		For dogs and cats only. Keep out of reach of children.

Precaution:		Not to be used during pregnancy.  

Dosage: 		Give 0.03 oz of gel (1 pump) 2-3 times a day per 3 lb of body weight into mouth. 

Best before December 2015.",http://ecx.images-amazon.com/images/I/31WXw7Q0p8L._SY300_.jpg
1300451416,Power - Mune Tuna Flavor Pet Herbal Supplement From Vetvittles.com,"VetVittles tm

""Power-Mune Plus"" (improved formula of the previous ""Power-Mune"")
Boosts strength, immunity and vitality, enforces repair of wounds, strengthens resistance to diseases, supports healing of infections and wounds, calms inflammations.

Tuna Flavor

Manufacturer's name and address:
		Made in USA, source of US certified herbal remedies: San Francisco Herb & Natural Food Co.; 
		Vet Vittles, 223 W 38th Street, New York, NY 10018; tel. (888) 807 4588;  www.vetvittles.com 

Net quantity statement:  	2 Oz of highly palatable gel per bottle.

Ingredients: 		Honey, agar-agar and herbal remedies: ashwagandha root, astragalus root, bee pollen, cat's claw bark, chaparral herb, echinacea purpurea tops, elder berry, eleuthro root, gotu cola herb, hyssop herb, licorice root, marshmallow root, neem leef, pau d'arco bark, white oak bark. 

Instructions:  		For dogs and cats only. Keep out of reach of children.

Precaution:		May contraindicated in chronic renal dysfunction.  

Dosage: 		Give 0.03 oz of gel (1 pump) 2-3 times a day per 3 lb of body weight into mouth. 

Best before December 2015.",http://ecx.images-amazon.com/images/I/310pMsy6RRL._SY300_.jpg
1300451467,Liver Support Tuna Flavor,"VetVittles tm

 ""Liver Support"" 
Supports liver function, stimulates des-intoxication and restores liver functions, eliminates harmful metabolites.

Tuna Flavor

Manufacturer's name and address:
		Made in USA, source of US certified herbal remedies: San Francisco Herb & Natural Food Co.; 
		Vet Vittles, 223 W 38th Street, New York, NY 10018; tel. (888) 807 4588;  www.vetvittles.com 

Net quantity statement:  	2 Oz of highly palatable gel per bottle.

Ingredients: 		Honey, agar-agar and herbal remedies: alfalfa herb, anise seed, blackberry leaf, cat's claw bark, dandelion root, fennel seed, fenugreek seed, milk thistle seed, white willow bark. 

Instructions:  		For dogs and cats only. Keep out of reach of children.

Precaution:		Not recommended during pregnancy.  

Dosage: 		Give 0.03 oz of gel (1 pump) 2-3 times a day per 3 lb of body weight into mouth. 

Best before December 2013.",http://ecx.images-amazon.com/images/I/31nHzDQTOoL._SY300_.jpg
1400638771,Oracle - Stress-o-meter,"Simply place your fingers onto the sensor pads, then relax while The Oracle reads your vibe?and gauges your stress levels. Are you ''slightly strained'' or ''catatonic?'' Batteries included.",http://ecx.images-amazon.com/images/I/51gNlAr13OL._SY300_.jpg
1423915380,Renata Battery 370 Sr920W Silver 1.55V Swiss Made,,http://ecx.images-amazon.com/images/I/41n3BFsLxpL._SX300_.jpg
142391550X,Renata Battery 397 Sr726Sw Silver 1.55V Swiss Made,(Renata) Battery 397 (SR726SW) SILVER 1.55V (SWISS MADE),http://ecx.images-amazon.com/images/I/41dY0CT-IwL._SX300_.jpg
1423915410,Renata Battery 379 Sr521Sw Silver 1.55V Swiss Made,,http://ecx.images-amazon.com/images/I/41rOeN21UpL._SX300_.jpg
1424333083,Kinesiotaping in Pediatrics: Fundamentals and Whole Body Taping,"Kinesio taping for pediatrics, fundamentals and whole body taping manual 2nd ed is being praised for its unprecedented user-friendly style and full-color format. Covering conditions from infant to adolescent, focusing on the necessary foundation needed of KT applications that will enable your patients and children to live more productive lives. Focusing on the necessary foundation needed applications that will enable your patients and children to live more productive lives.",http://ecx.images-amazon.com/images/I/51auQd4I4HL._SY300_.jpg
1427600228,Zenlet Green Tea Love Bracelet - All Natural,"The Zenlet Green Tea Bracelet provides you with an alternative method to get the health benefits from green tea without drinking green tea. The tea absorbs into your skin and body while wearing the bracelet. Pick from three designs. Scent oils are added to provide a fresh, clean smell available in green tea, lavender and jasmine scents. All bracelets come with a natural single pull clasp - no metal or plastic. Just use opposite index finger and thumb to tighten bracelet around wrist. Zenlet Green Tea Bracelets are 100% natural using hemp fiber, green tea, castor oil, and natural coloring from Indian trumpet flowers and burnt mango leaves. Brings GOOD LUCK to anyone that wears it! All bracelets come with either a bookmark or a drink coaster. You might also like our Aroma Therapy Green Tea Spa Pillows (stuffed with green tea!)",http://ecx.images-amazon.com/images/I/31nxjufe%2BOL._SX300_.jpg
1427742642,2013 CFA LEVEL 2 SCHWESER STUDY NOTES,This is an example product description.,http://ecx.images-amazon.com/images/I/517YSEqZveL._SX300_.jpg
1450862187,Washable Yarn Duster (Colors Vary),,http://ecx.images-amazon.com/images/I/410QRvl8HTL._SY300_.jpg
1456605755,Beating Diabetes for Type 2 eBook 2012,"""Beating Diabetes"" is an encyclopedia of knowledge for type 2 diabetes, from a physician who has had diabetes for more than 65 years.  This unique E-book includes more than 1,000 questions from both patients and medical professionals.  Learn from the physician who was the first to discover how to use a blood glucose monitor to manage diabetes and get over 1000 answers to questions your doctor may not know.

""Beating Diabetes"" will help to answer your questions to establish the most effective treatment plan by providing the most up-to-date information on: 

?	How to curb the carbohydrate cravings, overeating, and weight gain caused by beta cell loss and resultant amylin deficit using new amylin analogs and incretin mimetics;
?	New pharmaceuticals for treating type 2 diabetes -- what works and how to use them;
?	Pros and cons of insulin pumps and continuous blood sugar monitors;
?	How to make sense of the many new insulin analogs and insulin mixtures -- which to avoid, which to use, and how to use them;
?	What type of physical activity is best for normalizing blood sugars including when it is best to exercise.
?	How to prevent diabetes, improve quality of life and maintain normal blood sugars; and much more!

""Dr. Bernstein is a true pioneer in developing practical approaches to controlling a devastating disease that is growing at epidemic proportions in this country."" -- Barry Sears, PhD, author of The Zone

""Run, don't walk, to get this book.""  -- Michael R. Eades, MD, and Mary Dan Eades, MD, authors of Protein Power

ABOUT THE AUTHOR: Richard K. Bernstein, MD, FACE, FACN, FCCWS, is recognized as one of the foremost experts on diabetes and its complications.  His private practice in New York, is devoted solely to diabetes and prediabetic conditions.",http://ecx.images-amazon.com/images/I/51K-tJGE4iL._SY300_.jpg
1472607341,Filofax Personal Original Patent Purple,,http://ecx.images-amazon.com/images/I/41BoBtkRuXL._SY300_.jpg
1560622016,"Wellness Briefs Original, w/ NASA Technology, Large, Case/60 (3/20s)","The Wellness Brief Originals is the most absorbent adult brief available today giving adults all the comfort and confidence needed when deciding upon daily activities. Unique Wellness adult diapers can reduce landfill use by over 70 percent due to the minimal changes required with a Wellness Brief, making the program the most environmentally friendly incontinence solution on the market today. The Wellness Brief is based on the same principles as the Maximum Absorbency Garments ( MAGs ) developed by NASA. The multi layered Wellness Brief fully absorbs the liquid and locks it away in another layer leaving little opportunity for skin irritation. (Case includes 3 bags of 20, 60 ct)",http://ecx.images-amazon.com/images/I/51ZFfZQ0jPL._SX300_.jpg
1574891790,Cavallini Notebooks Paris 6 x 8,Notebooks Paris,http://ecx.images-amazon.com/images/I/51e6TUvUWIL._SY300_.jpg
157489112X,"Cavallini Glitter Gift Tags Christmas Birds, 36 Assorted Gift Tags",Holiday Birds glitter gift tags set.,http://ecx.images-amazon.com/images/I/51nqPUXiZyL._SX300_.jpg
1574890107,"Cavallini Glitter Gift Tags Vintage Christmas, 36 Assorted Gift Tags",Vintage Christmas glitter gift tags set.,http://ecx.images-amazon.com/images/I/51RBQCndvwL._SX300_.jpg
1574890719,Cavallini and Glitter Gift Tags Birds 36 Assorted Gift Tags Packaged in a Tin,Cavallini Glitter Gift Tags Birds - 36 Assorted Bird Gift Tags Packaged in a Tin. Function meets beauty in these darling pre-strung decorative tags ready to adorn a special package.,http://ecx.images-amazon.com/images/I/51y-x0mpvkL._SX300_.jpg
1574890859,Cavallini Small Notebooks San Francisco 4 x 6,Small Notebooks San Francisco,http://ecx.images-amazon.com/images/I/51OnOh6DVRL._SY300_.jpg
1574891138,"Cavallini Glitter Gift Tags Christmas Cheer, 36 Assorted Gift Tags",Christmas cheer glitter gift tags set.,http://ecx.images-amazon.com/images/I/51wAJBGWBML._SX300_.jpg
1574890735,"Cavallini Gift Tags Paris, 36 Assorted Gift Tags",Paris gift tags set.,http://ecx.images-amazon.com/images/I/5141ly4I9HL._SX300_.jpg
1574892444,"Cavallini Small Notebooks Flora &amp; Fauna 4 x 6,",Small Notebooks Flora & Fauna,http://ecx.images-amazon.com/images/I/51fbgOiX-xL._SY300_.jpg
1574895990,Cavallini Notebooks World Travels 6 x 8,Notebooks World Travels,http://ecx.images-amazon.com/images/I/61YXql7pHFL._SY300_.jpg
1574894633,Cavallini Small Notebooks World Map Travels 4 x 6,Small Notebooks World Map Travels,http://ecx.images-amazon.com/images/I/510qGretq7L._SY300_.jpg
1574897748,"Cavallini Small Notebooks Keep Calm and Carry On, 4 x 6",Small Notebooks Keep Calm and Carry On,http://ecx.images-amazon.com/images/I/41qiH7mj6-L._SY300_.jpg
1574898205,Cavallini Small Notebooks Vintage Typewriter 4 x 6,Small Notebooks Vintage Typewriter,http://ecx.images-amazon.com/images/I/51XuDPP65-L._SY300_.jpg
1574898914,"Cavallini Mini Notebooks Alphabet 4 x 5, 3 Mini Notebooks",Mini Notebooks Alphabet,http://ecx.images-amazon.com/images/I/51vCvJ1HtSL._SY300_.jpg
1574898892,Cavallini Mini Notebooks Numbers 4 x 5 3 Mini Notebooks,Mini Notebooks Numbers,http://ecx.images-amazon.com/images/I/61tlWNIR6%2BL._SY300_.jpg
157489885X,"Cavallini Mini Notebooks Paris 4 x 5 5, 3 Mini Notebooks",Mini Notebooks Paris,http://ecx.images-amazon.com/images/I/61xKuH%2B8zxL._SY300_.jpg
1574898884,"Cavallini Mini Notebooks Vintage Maps 4 x 5, 3 Mini Notebooks",Mini Notebooks Vintage Maps,http://ecx.images-amazon.com/images/I/61ABxpFyJ1L._SY300_.jpg
157489918X,"Cavallini Alphabet Decorative, 5 Assorted rolls",Alphabet themed decorative paper tape.,http://ecx.images-amazon.com/images/I/51nPuLPKFYL._SX300_.jpg
1574899198,"Cavallini Vintage Christmas Decorative, 5 Assorted rolls",Vintage Christmas decorative paper tape.,http://ecx.images-amazon.com/images/I/51wcVmapvJL._SX300_.jpg
1574898868,"Cavallini Mini Notebooks New York 4 x 5, 3 Mini Notebooks",Mini Notebooks New York,http://ecx.images-amazon.com/images/I/61iNo3U-LgL._SY300_.jpg
157489921X,"Cavallini Flora &amp; Fauna Decorative, 5 Assorted rolls",Flora & Fauna themed decorative paper tape.,http://ecx.images-amazon.com/images/I/51uh9jLEkuL._SX300_.jpg
1574893874,Cavallini Notebooks Travels 6 x 8,Notebooks Travels,http://ecx.images-amazon.com/images/I/61jk1ec-ugL._SY300_.jpg
1574899678,"Cavallini Christmas Santa Mailing Sets, 24 Assorted Cards with Envelopes",Christmas Santa Mailing Sets.,http://ecx.images-amazon.com/images/I/51uJ54PjEeL._SX300_.jpg
1574899171,"Cavallini Numbers Decorative Paper Tape, 5 Assorted Rolls",Numbers themed decorative paper tape.,http://ecx.images-amazon.com/images/I/51v9LDIbxyL._SX300_.jpg
1574898752,"Cavallini ValenTine's Mailing Sets, 24 Assorted Cards with Envelopes",Valentine's Mailing Sets.,http://ecx.images-amazon.com/images/I/51oUfZycHsL._SX300_.jpg
157489966X,"Cavallini Christmas Paris Mailing Sets, 24 Assorted Cards with Envelopes",Christmas Paris Mailing Sets.,http://ecx.images-amazon.com/images/I/51y1qUfnFML._SX300_.jpg
1574899686,"Cavallini Christmas Vintage Mailing Sets, 24 Assorted Cards with Envelopes",Christmas Vintage Mailing Sets.,http://ecx.images-amazon.com/images/I/51XZMOpDNaL._SX300_.jpg
1574899201,Cavallini Paris Decorative Paper Tape - 5 assorted paper tape rolls (16 yards per roll),Paris themed decorative paper tape.,http://ecx.images-amazon.com/images/I/51b7hZbV7fL._SX300_.jpg
1574899651,"Cavallini Christmas Birds Mailing Sets, 24 Assorted Cards with Envelopes",Christmas Birds Mailing Sets.,http://ecx.images-amazon.com/images/I/51TnyU0AqIL._SX300_.jpg
157489823X,Cavallini Notebooks New York 6 x 8,Notebooks New York,http://ecx.images-amazon.com/images/I/51NFqOhluSL._SY300_.jpg
